_id,first_name,last_name,middle_name,schoolItem,experience_years,phone
67c346338d6be4762dc724b3,Сидоркин,Даниил,Дмитриевич,Физика,3,+7 (930) 114-14-14
67c3464a8d6be4762dc724b4,Муравьев,Максим,Алексеевич,Математика,3,+7 (631) 444-44-11
67c346698d6be4762dc724b5,Сударкин,Андрей,Андреевич,Биология,6,+7 (485) 542-11-11
67c346808d6be4762dc724b6,Кирсанов,Иван,Дмитриевич,Физика,4,+7 (151) 114-67-31
67c346aa8d6be4762dc724b7,Барышев,Иван,Романович,География,1,+7 (946) 147-83-31
67c346c88d6be4762dc724b8,Беляева,Кристина,Олеговна,Информатика,7,+7 (211) 452-42-11
67c34818fe39e6ecec65af8f,Ширшова,Мария,Андреевна,Изо,5,+7 (523) 521-95-32
67c3483ffe39e6ecec65af90,Судачкин,Олег,Романович,Обществознание,8,+7 (942) 715-28-06
67c3485afe39e6ecec65af91,Шиханова,Дарья,Сергеевна,Музыка,9,+7 (752) 893-44-74
67c34886fe39e6ecec65af92,Сидоркин,Дмитрий,Максимович,Математика,5,+7 (723) 221-63-22
